Labels,15 wt% in mCP,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,19990.234000,
Step,9.7656250,
Fixed/Offset, ,
XAxis,Time(ns),
YAxis,Counts,

7500.00,3.10000000E+1,
7509.765600,4.90000000E+1,
7519.531300,3.50000000E+1,
7529.296900,3.00000000E+1,
7539.062500,4.00000000E+1,
7548.828100,2.40000000E+1,
7558.593800,3.50000000E+1,
7568.359400,3.60000000E+1,
7578.125000,4.10000000E+1,
7587.890600,4.20000000E+1,
7597.656300,4.00000000E+1,
7607.421900,4.50000000E+1,
7617.187500,4.00000000E+1,
7626.953100,2.40000000E+1,
7636.718800,3.60000000E+1,
7646.484400,4.40000000E+1,
7656.25000,4.00000000E+1,
7666.015600,5.20000000E+1,
7675.781300,4.30000000E+1,
7685.546900,4.00000000E+1,
7695.312500,4.00000000E+1,
7705.078100,3.80000000E+1,
7714.843800,2.60000000E+1,
7724.609400,3.60000000E+1,
7734.375000,3.20000000E+1,
7744.140600,3.00000000E+1,
7753.906300,1.90000000E+1,
7763.671900,3.90000000E+1,
7773.437500,4.10000000E+1,
7783.203100,2.50000000E+1,
7792.968800,3.70000000E+1,
7802.734400,4.70000000E+1,
7812.5000,2.30000000E+1,
7822.265600,3.60000000E+1,
7832.031300,3.30000000E+1,
7841.796900,3.50000000E+1,
7851.562500,3.20000000E+1,
7861.328100,3.10000000E+1,
7871.093800,4.10000000E+1,
7880.859400,2.60000000E+1,
7890.625000,3.60000000E+1,
7900.390600,3.30000000E+1,
7910.156300,3.90000000E+1,
7919.921900,4.50000000E+1,
7929.687500,2.70000000E+1,
7939.453100,3.10000000E+1,
7949.218800,4.40000000E+1,
7958.984400,3.10000000E+1,
7968.75000,3.10000000E+1,
7978.515600,3.70000000E+1,
7988.281300,2.90000000E+1,
7998.046900,3.00000000E+1,
8007.812500,2.40000000E+1,
8017.578100,2.80000000E+1,
8027.343800,3.20000000E+1,
8037.109400,3.60000000E+1,
8046.875000,3.20000000E+1,
8056.640600,3.20000000E+1,
8066.406300,3.50000000E+1,
8076.171900,4.80000000E+1,
8085.937500,4.40000000E+1,
8095.703100,3.10000000E+1,
8105.468800,2.60000000E+1,
8115.234400,3.00000000E+1,
8125.000,3.10000000E+1,
8134.765600,4.10000000E+1,
8144.531300,3.30000000E+1,
8154.296900,4.50000000E+1,
8164.062500,3.40000000E+1,
8173.828100,2.90000000E+1,
8183.593800,3.70000000E+1,
8193.359400,2.40000000E+1,
8203.125000,4.20000000E+1,
